[-0.64619034] [-5.53534725]
[-7.69752577] [5.13295663]
[-0.40952281] [-8.08412071]
[5.20171161] [9.08262349]
[6.37338344] [3.19907768]
[3.2360014] [5.14253686]
[-9.11750566] [0.60462898]
[-2.46991986] [0.90147516]
[3.66320497] [6.58160226]
[3.07222478] [6.51871107]
[5.03871671] [2.33002994]
[0.72813297] [8.13046015]
[6.81896114] [3.32839001]
[-0.20531962] [-9.27477333]
[-0.54254801] [5.7440384]
[5.96782959] [-0.17920774]
[8.79443616] [6.8210387]
[-0.64564697] [-8.12645101]
[4.74959645] [-5.68496975]
[5.01566584] [-8.17379857]
[8.81292606] [9.64558222]
[8.25031166] [6.34691109]
[0.03341442] [-3.53811899]
[-7.81313225] [-8.90833277]
[-6.63580363] [-9.89102283]
[-5.18093815] [0.28178569]
[1.86621161] [-3.50345619]
[-3.79475066] [-0.34643936]
[8.76435077] [6.73345012]
[1.91170547] [-3.03241921]
[4.35610659] [-3.8252401]
[9.62511859] [9.69964063]
[5.79199133] [4.17747923]
[-5.24990911] [-4.70506377]
[-3.68583828] [-8.2734067]
[0.11601736] [0.66433596]
[5.63024916] [-8.351039]
[6.83880472] [8.83637671]
[6.27496105] [-0.28105231]
[9.43879791] [-7.11432483]
[-8.57397275] [5.36471605]
[8.31259732] [3.88474739]
[4.92795204] [-5.53320089]
[-4.29189589] [4.95450777]
[9.59975019] [1.84305318]
[9.19818872] [6.8650259]
[4.7214629] [4.97057821]
[-5.39311443] [-5.5258784]
[8.0154843] [8.07895692]
[4.45753345] [0.01726926]
[-5.73004281] [7.11297169]
[-0.15570791] [8.39100955]
[-7.72213891] [7.09566327]
[8.67311001] [6.69214029]
[-5.20101739] [6.71321862]
[1.8117033] [3.26254669]
[-6.14246099] [-0.25836684]
[-1.55793815] [-0.86206671]
[0.60048445] [-6.96296471]
[-2.18321103] [-6.20296078]
[7.76380853] [1.24134427]
[-2.68923528] [9.05988507]
