[9.57854744] [1.23027612]
[5.88956977] [4.23774246]
[7.97381672] [9.80006869]
[1.15588599] [3.4332251]
[9.90173101] [4.9877878]
[9.01885134] [3.92240646]
[1.06229665] [1.36544893]
[1.29207546] [9.43359939]
[1.06413445] [9.37682351]
[2.35102108] [6.83095301]
[6.19984381] [7.06728892]
[4.83773294] [1.47584162]
[6.34163578] [8.11221872]
[8.40082552] [1.6860509]
[7.91351688] [6.39023674]
[7.12228388] [8.23003723]
[4.54248444] [3.67568501]
[9.72179219] [1.34996936]
[7.24269163] [3.22752337]
[5.53476024] [2.59368316]
[5.22574761] [2.9345157]
[9.76555501] [5.6246033]
[1.93093938] [1.29473102]
[4.12263195] [1.34067477]
[4.23605548] [6.08967011]
[7.303231] [5.09761251]
[2.26869745] [3.12128643]
[9.68318743] [6.63529625]
[6.38906871] [3.20924338]
[9.29018904] [9.79891204]
[8.73547073] [7.72984936]
[3.546455] [4.80805598]
[1.27679076] [5.12612422]
[3.28430523] [5.80371336]
[7.60490752] [6.65737186]
[9.353254] [6.44226282]
[1.64621356] [3.98929865]
[9.10163213] [9.58094043]
[3.5474886] [1.39248824]
[4.62277248] [8.31061183]
[4.84067157] [8.43727944]
[5.77532833] [5.660531]
[8.90172007] [6.88103742]
[8.29639528] [5.31774016]
[1.96015799] [6.32832004]
[4.29698383] [3.25522853]
[6.17253295] [3.4670157]
[6.63713517] [7.92845544]
[4.13997433] [5.30394154]
[9.56171285] [6.28762274]
